epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,358.44,1.07284,1.62458,1.0083,0,0,0,0,5.22333,6.30787,4.56538,0.000172436,0.000172436,0.000172436
89,361.288,1.03583,1.62969,1.00199,0,0,0,0,5.22333,6.30787,4.56538,0.000161969,0.000161969,0.000161969
90,364.236,1.06215,1.9571,1.05343,0,0,0,0,5.22333,6.30787,4.56538,0.000151218,0.000151218,0.000151218
91,366.842,0.9281,1.86037,0.97671,0,0,0,0,5.22333,6.30787,4.56538,0.000140185,0.000140185,0.000140185
92,369.369,0.90991,1.80145,0.97915,0,0,0,0,5.22333,6.30787,4.56538,0.000128869,0.000128869,0.000128869
93,372.056,1.29394,2.15265,0.88569,0,0,0,0,5.22333,6.30787,4.56538,0.000117269,0.000117269,0.000117269
94,374.479,1.01414,1.77201,0.96243,0,0,0,0,5.22333,6.30787,4.56538,0.000105387,0.000105387,0.000105387
95,377.177,1.08459,2.05196,1.10034,0,0,0,0,5.22333,6.30787,4.56538,9.32222e-05,9.32222e-05,9.32222e-05
96,379.665,1.03253,1.74697,1.06015,0,0,0,0,5.22333,6.30787,4.56538,8.07742e-05,8.07742e-05,8.07742e-05
97,382.092,0.96833,1.9517,0.91957,0,0,0,0,5.22333,6.30787,4.56538,6.80433e-05,6.80433e-05,6.80433e-05
98,384.791,0.9165,1.93397,0.98783,0,0,0,0,5.22333,6.30787,4.56538,5.50294e-05,5.50294e-05,5.50294e-05
99,387.251,1.07625,2.03191,1.15037,0,0,0,0,5.22333,6.30787,4.56538,4.17325e-05,4.17325e-05,4.17325e-05
100,389.791,0.92676,1.8701,1.02806,0,0,0,0,5.22333,6.30787,4.56538,2.81527e-05,2.81527e-05,2.81527e-05
